cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
-10d,-10.0,487,24,0.049281314168377825,0.2894891135321126,0.8088552915766739,0.21839080459770116,0.12666666666666668,0.7916666666666666,0.32558139534883723,0.8414083123207092,0.5,76.0,0,frozen,1,0,12
+0d,0.0,487,24,0.049281314168377825,0.3129503236719923,0.841972642188625,0.25,0.15178571428571427,0.7083333333333334,0.35294117647058826,0.8951139450073242,0.5,79.0,0,frozen,1,0,12
+20d,20.0,487,24,0.049281314168377825,0.44998759090876495,0.925755939524838,0.45161290322580644,0.30434782608695654,0.875,0.5,0.5718331336975098,0.5,81.0,0,frozen,1,0,12
+50d,50.0,487,24,0.049281314168377825,0.5795786975761387,0.9545536357091433,0.4883720930232558,0.3387096774193548,0.875,0.6545454545454547,0.776000440120697,0.5,85.0,0,frozen,1,0,12
+100d,100.0,487,24,0.049281314168377825,0.6645892445332467,0.9682325413966884,0.5526315789473685,0.40384615384615385,0.875,0.6486486486486487,0.9369016289710999,0.5,91.0,0,frozen,1,0,12
full,,487,24,0.049281314168377825,0.6080892162797422,0.9665226781857452,0.5405405405405406,0.4,0.8333333333333334,0.6956521739130435,0.8378266096115112,0.5,152.0,0,frozen,1,0,12
-50d,-50.0,486,23,0.047325102880658436,0.2779629237848743,0.8438351018875012,0.22099447513812154,0.12658227848101267,0.8695652173913043,0.2909090909090909,0.7720813155174255,0.5,76.0,2,frozen,1,1,42
-20d,-20.0,486,23,0.047325102880658436,0.2465086560559507,0.8407362193633205,0.2289156626506024,0.13286713286713286,0.8260869565217391,0.2580645161290323,0.7051792740821838,0.5,80.0,1,frozen,1,1,42
-10d,-10.0,486,23,0.047325102880658436,0.23880500610552258,0.8444924406047516,0.24836601307189543,0.14615384615384616,0.8260869565217391,0.28571428571428575,0.8474144339561462,0.5,81.0,1,frozen,1,1,42
+0d,0.0,486,23,0.047325102880658436,0.2867544614639499,0.890036623157104,0.2878787878787879,0.1743119266055046,0.8260869565217391,0.41025641025641024,0.7503355145454407,0.5,84.0,0,frozen,1,1,42
+20d,20.0,486,23,0.047325102880658436,0.47663835659770054,0.926002441543807,0.43010752688172044,0.2857142857142857,0.8695652173913043,0.5428571428571428,0.6840172410011292,0.5,87.0,0,frozen,1,1,42
+50d,50.0,486,23,0.047325102880658436,0.5703799238673191,0.9507935017372524,0.5128205128205128,0.36363636363636365,0.8695652173913043,0.6451612903225806,0.6840172410011292,0.5,92.0,0,frozen,1,1,42
+100d,100.0,486,23,0.047325102880658436,0.6372393516591935,0.9476007136820358,0.5753424657534246,0.42,0.9130434782608695,0.7037037037037037,0.872114896774292,0.5,97.0,0,frozen,1,1,42
full,,486,23,0.047325102880658436,0.6219747863349535,0.967039158606442,0.6268656716417911,0.4772727272727273,0.9130434782608695,0.7142857142857143,0.751471996307373,0.5,152.0,0,frozen,1,1,42
-50d,-50.0,488,24,0.04918032786885246,0.11854892283246299,0.792205459770115,0.19004524886877827,0.1065989847715736,0.875,0.2068965517241379,0.5592218041419983,0.5,72.0,5,frozen,1,2,45
-20d,-20.0,488,24,0.04918032786885246,0.143009455823952,0.828618893678161,0.22,0.125,0.9166666666666666,0.25,0.7112913131713867,0.5,75.0,1,frozen,1,2,45
-10d,-10.0,488,24,0.04918032786885246,0.1682820408654272,0.8451867816091954,0.2222222222222222,0.12727272727272726,0.875,0.31999999999999995,0.7939075231552124,0.5,76.0,1,frozen,1,2,45
+0d,0.0,488,24,0.04918032786885246,0.2940513924689416,0.9015804597701149,0.2564102564102564,0.15151515151515152,0.8333333333333334,0.43333333333333335,0.9052874445915222,0.5,78.0,0,frozen,1,2,45
+20d,20.0,488,24,0.04918032786885246,0.41661117097835854,0.9443247126436782,0.4107142857142857,0.26136363636363635,0.9583333333333334,0.46153846153846156,0.7769888639450073,0.5,82.0,0,frozen,1,2,45
+50d,50.0,488,24,0.04918032786885246,0.5864272356828615,0.9701867816091954,0.4842105263157895,0.323943661971831,0.9583333333333334,0.6,0.8662373423576355,0.5,85.5,0,frozen,1,2,45
+100d,100.0,488,24,0.04918032786885246,0.6658613195097158,0.974676724137931,0.5111111111111111,0.3484848484848485,0.9583333333333334,0.627450980392157,0.931945264339447,0.5,90.5,0,frozen,1,2,45
full,,488,24,0.04918032786885246,0.7083524640630219,0.9840158045977011,0.5974025974025974,0.4339622641509434,0.9583333333333334,0.7272727272727272,0.9035882353782654,0.5,148.0,0,frozen,1,2,45
-50d,-50.0,487,24,0.049281314168377825,0.15540600676432603,0.7620590352771779,0.1919191919191919,0.10919540229885058,0.7916666666666666,0.2,0.6198180317878723,0.5,67.0,7,frozen,1,3,32
-20d,-20.0,487,24,0.049281314168377825,0.21084102618683478,0.7985961123110151,0.20430107526881722,0.11728395061728394,0.7916666666666666,0.3333333333333333,0.8095723986625671,0.5,69.0,2,frozen,1,3,32
-10d,-10.0,487,24,0.049281314168377825,0.24717449394760868,0.8157847372210224,0.2289156626506024,0.13380281690140844,0.7916666666666666,0.34285714285714286,0.8712461590766907,0.5,71.0,1,frozen,1,3,32
+0d,0.0,487,24,0.049281314168377825,0.2938421155252073,0.8569114470842333,0.2857142857142857,0.1743119266055046,0.7916666666666666,0.39215686274509803,0.822532057762146,0.5,74.0,0,frozen,1,3,32
+20d,20.0,487,24,0.049281314168377825,0.44843927055017213,0.8958783297336212,0.41379310344827586,0.2857142857142857,0.75,0.523076923076923,0.7167047262191772,0.5,77.0,0,frozen,1,3,32
+50d,50.0,487,24,0.049281314168377825,0.5268028087451399,0.9204463642908568,0.4318181818181818,0.296875,0.7916666666666666,0.5454545454545454,0.7468035817146301,0.5,82.0,0,frozen,1,3,32
+100d,100.0,487,24,0.049281314168377825,0.6559210582310354,0.9401547876169908,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.6486486486486487,0.962270975112915,0.5,86.0,0,frozen,1,3,32
full,,487,24,0.049281314168377825,0.7255040177641319,0.9683225341972643,0.5352112676056338,0.40425531914893614,0.7916666666666666,0.6666666666666666,0.9283836483955383,0.5,147.0,0,frozen,1,3,32
-50d,-50.0,486,23,0.047325102880658436,0.1881380395819569,0.7788524744107428,0.18181818181818182,0.10152284263959391,0.8695652173913043,0.27586206896551724,0.8580305576324463,0.5,72.0,1,frozen,1,4,32
-20d,-20.0,486,23,0.047325102880658436,0.22593291901929585,0.7818574514038876,0.18181818181818182,0.10285714285714286,0.782608695652174,0.31578947368421056,0.8447777032852173,0.5,75.5,1,frozen,1,4,32
-10d,-10.0,486,23,0.047325102880658436,0.29544644404397186,0.8124706545215513,0.18681318681318682,0.1069182389937107,0.7391304347826086,0.3125,0.9206652045249939,0.5,77.0,1,frozen,1,4,32
+0d,0.0,486,23,0.047325102880658436,0.3548162665988184,0.8671236735843741,0.24113475177304963,0.1440677966101695,0.7391304347826086,0.40740740740740744,0.86442631483078,0.5,80.5,0,frozen,1,4,32
+20d,20.0,486,23,0.047325102880658436,0.5514595026459096,0.9387735937646727,0.40404040404040403,0.2631578947368421,0.8695652173913043,0.5517241379310345,0.772480309009552,0.5,83.0,0,frozen,1,4,32
+50d,50.0,486,23,0.047325102880658436,0.5983165843290041,0.956427833599399,0.49382716049382713,0.3448275862068966,0.8695652173913043,0.6129032258064516,0.7433133721351624,0.5,89.0,0,frozen,1,4,32
+100d,100.0,486,23,0.047325102880658436,0.6769481717037082,0.9688233636961218,0.5405405405405406,0.39215686274509803,0.8695652173913043,0.6333333333333333,0.7433133721351624,0.5,94.0,0,frozen,1,4,32
full,,486,23,0.047325102880658436,0.67526985888016,0.9753028453375904,0.5384615384615384,0.38181818181818183,0.9130434782608695,0.6557377049180327,0.6784655451774597,0.5,147.0,0,frozen,1,4,32
-50d,-50.0,487,24,0.049281314168377825,0.167090971740188,0.7174226061915048,0.17708333333333334,0.10119047619047619,0.7083333333333334,0.1990521327014218,0.4139464795589447,0.5,72.0,1,frozen,2,0,26
-20d,-20.0,487,24,0.049281314168377825,0.26468019914252977,0.7951763858891289,0.19540229885057472,0.11333333333333333,0.7083333333333334,0.27586206896551724,0.9264069199562073,0.5,75.0,0,frozen,2,0,26
-10d,-10.0,487,24,0.049281314168377825,0.2742978114301032,0.8237041036717063,0.21794871794871795,0.12878787878787878,0.7083333333333334,0.32558139534883723,0.8445665836334229,0.5,76.0,0,frozen,2,0,26
+0d,0.0,487,24,0.049281314168377825,0.329539718630768,0.8641108711303096,0.24806201550387597,0.1523809523809524,0.6666666666666666,0.375,0.9391030073165894,0.5,79.0,0,frozen,2,0,26
+20d,20.0,487,24,0.049281314168377825,0.3874449614266488,0.9310655147588193,0.4166666666666667,0.2777777777777778,0.8333333333333334,0.45454545454545453,0.6572030186653137,0.5,81.0,0,frozen,2,0,26
+50d,50.0,487,24,0.049281314168377825,0.5133019730502888,0.9489740820734341,0.47619047619047616,0.3333333333333333,0.8333333333333334,0.6333333333333333,0.8005634546279907,0.5,85.0,0,frozen,2,0,26
+100d,100.0,487,24,0.049281314168377825,0.5980531852467813,0.9651727861771058,0.5194805194805194,0.37735849056603776,0.8333333333333334,0.6206896551724139,0.7694972157478333,0.5,91.0,0,frozen,2,0,26
full,,487,24,0.049281314168377825,0.6308113763672265,0.9731821454283658,0.5753424657534246,0.42857142857142855,0.875,0.75,0.8781434297561646,0.5,152.0,0,frozen,2,0,26
-50d,-50.0,486,23,0.047325102880658436,0.3153421353792284,0.8555732932669735,0.22459893048128343,0.12804878048780488,0.9130434782608695,0.37499999999999994,0.7678349614143372,0.5,76.0,2,frozen,2,1,22
-20d,-20.0,486,23,0.047325102880658436,0.2590127858305299,0.8438351018875012,0.22727272727272727,0.13071895424836602,0.8695652173913043,0.3333333333333333,0.7924084067344666,0.5,80.0,1,frozen,2,1,22
-10d,-10.0,486,23,0.047325102880658436,0.2503097259755533,0.8485303784392901,0.24691358024691357,0.14388489208633093,0.8695652173913043,0.31111111111111117,0.8306256532669067,0.5,81.0,1,frozen,2,1,22
+0d,0.0,486,23,0.047325102880658436,0.2884227934594959,0.8885341346605314,0.29411764705882354,0.17699115044247787,0.8695652173913043,0.39080459770114945,0.7070608735084534,0.5,84.0,0,frozen,2,1,22
+20d,20.0,486,23,0.047325102880658436,0.4426712587565139,0.9322002065921683,0.43478260869565216,0.2898550724637681,0.8695652173913043,0.5,0.7513382434844971,0.5,87.0,0,frozen,2,1,22
+50d,50.0,486,23,0.047325102880658436,0.5492097857834398,0.9546436285097193,0.525,0.3684210526315789,0.9130434782608695,0.6101694915254238,0.7070608735084534,0.5,92.0,0,frozen,2,1,22
+100d,100.0,486,23,0.047325102880658436,0.6824616973160643,0.9431871537233544,0.5454545454545454,0.3888888888888889,0.9130434782608695,0.6785714285714286,0.7508243918418884,0.5,97.0,0,frozen,2,1,22
full,,486,23,0.047325102880658436,0.6159164027302133,0.9618743543994741,0.56,0.40384615384615385,0.9130434782608695,0.7058823529411765,0.8573749661445618,0.5,152.0,0,frozen,2,1,22
-50d,-50.0,488,24,0.04918032786885246,0.12686627032089806,0.7967852011494252,0.18867924528301888,0.10638297872340426,0.8333333333333334,0.21739130434782608,0.6785808801651001,0.5,72.0,5,frozen,2,2,30
-20d,-20.0,488,24,0.04918032786885246,0.15691304986360086,0.8390804597701149,0.21761658031088082,0.1242603550295858,0.875,0.2711864406779661,0.6888702511787415,0.5,75.0,1,frozen,2,2,30
-10d,-10.0,488,24,0.04918032786885246,0.17201173678993337,0.847790948275862,0.22598870056497175,0.13071895424836602,0.8333333333333334,0.31818181818181823,0.749241292476654,0.5,76.0,1,frozen,2,2,30
+0d,0.0,488,24,0.04918032786885246,0.29352687750190587,0.8999640804597702,0.25477707006369427,0.15037593984962405,0.8333333333333334,0.39560439560439564,0.7813256978988647,0.5,78.0,0,frozen,2,2,30
+20d,20.0,488,24,0.04918032786885246,0.4169833977257051,0.9436063218390804,0.39655172413793105,0.25,0.9583333333333334,0.4848484848484849,0.8400403261184692,0.5,82.0,0,frozen,2,2,30
+50d,50.0,488,24,0.04918032786885246,0.581296135677577,0.9701867816091954,0.48484848484848486,0.32,1.0,0.5882352941176471,0.8475262522697449,0.5,85.5,0,frozen,2,2,30
+100d,100.0,488,24,0.04918032786885246,0.5920754729015872,0.9676724137931034,0.4731182795698925,0.3188405797101449,0.9166666666666666,0.5937499999999999,0.8475262522697449,0.5,90.5,0,frozen,2,2,30
full,,488,24,0.04918032786885246,0.6459004722224619,0.9795258620689655,0.5476190476190477,0.38333333333333336,0.9583333333333334,0.7083333333333334,0.9269497394561768,0.5,148.0,0,frozen,2,2,30
-50d,-50.0,487,24,0.049281314168377825,0.18521151688287144,0.7778077753779697,0.18627450980392157,0.10555555555555556,0.7916666666666666,0.23529411764705882,0.8186226487159729,0.5,67.0,7,frozen,2,3,22
-20d,-20.0,487,24,0.049281314168377825,0.18584001831476243,0.7874370050395968,0.2,0.1144578313253012,0.7916666666666666,0.3,0.8187934756278992,0.5,69.0,2,frozen,2,3,22
-10d,-10.0,487,24,0.049281314168377825,0.22722093361076845,0.7976961843052556,0.1956521739130435,0.1125,0.75,0.3333333333333333,0.8709660768508911,0.5,71.0,1,frozen,2,3,22
+0d,0.0,487,24,0.049281314168377825,0.25919454465313146,0.8373830093592513,0.2553191489361702,0.15384615384615385,0.75,0.3333333333333333,0.8728796243667603,0.5,74.0,0,frozen,2,3,22
+20d,20.0,487,24,0.049281314168377825,0.40772922738897804,0.884899208063355,0.35789473684210527,0.23943661971830985,0.7083333333333334,0.5,0.8665792942047119,0.5,77.0,0,frozen,2,3,22
+50d,50.0,487,24,0.049281314168377825,0.5286927572744409,0.9198164146868251,0.41379310344827586,0.2857142857142857,0.75,0.5161290322580646,0.7525903582572937,0.5,82.0,0,frozen,2,3,22
+100d,100.0,487,24,0.049281314168377825,0.6275369903250188,0.943484521238301,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.6153846153846153,0.8539800643920898,0.5,86.0,0,frozen,2,3,22
full,,487,24,0.049281314168377825,0.7255451882640325,0.9690424766018718,0.5066666666666667,0.37254901960784315,0.7916666666666666,0.6511627906976745,0.8525615334510803,0.5,147.0,0,frozen,2,3,22
-50d,-50.0,486,23,0.047325102880658436,0.20294842492952075,0.7786646633486711,0.1941747572815534,0.1092896174863388,0.8695652173913043,0.2857142857142857,0.8504135608673096,0.5,72.0,1,frozen,2,4,60
-20d,-20.0,486,23,0.047325102880658436,0.27960017845199636,0.8190440416940558,0.21105527638190955,0.11931818181818182,0.9130434782608695,0.358974358974359,0.8411330580711365,0.5,75.5,1,frozen,2,4,60
-10d,-10.0,486,23,0.047325102880658436,0.3267782462103212,0.8491877171565405,0.2185792349726776,0.125,0.8695652173913043,0.3333333333333333,0.8411330580711365,0.5,77.0,1,frozen,2,4,60
+0d,0.0,486,23,0.047325102880658436,0.42641437015593175,0.8991454596675744,0.2676056338028169,0.15966386554621848,0.8260869565217391,0.44000000000000006,0.8560784459114075,0.5,80.5,0,frozen,2,4,60
+20d,20.0,486,23,0.047325102880658436,0.5719640854806882,0.9550192506338624,0.4329896907216495,0.28378378378378377,0.9130434782608695,0.5599999999999999,0.8590582013130188,0.5,83.0,0,frozen,2,4,60
+50d,50.0,486,23,0.047325102880658436,0.6236058152575424,0.9670391586064419,0.5121951219512195,0.3559322033898305,0.9130434782608695,0.68,0.8863464593887329,0.5,89.0,0,frozen,2,4,60
+100d,100.0,486,23,0.047325102880658436,0.692311018506005,0.97464550662034,0.5405405405405406,0.39215686274509803,0.8695652173913043,0.6229508196721311,0.7480412125587463,0.5,94.0,0,frozen,2,4,60
full,,486,23,0.047325102880658436,0.6443223507037321,0.9780261057376279,0.6197183098591549,0.4583333333333333,0.9565217391304348,0.6666666666666667,0.7174131274223328,0.5,147.0,0,frozen,2,4,60
-50d,-50.0,487,24,0.049281314168377825,0.12305711509673309,0.7123830093592514,0.19607843137254902,0.1111111111111111,0.8333333333333334,0.19607843137254902,0.5038370490074158,0.5,72.0,1,finetune,0,0,8
-20d,-20.0,487,24,0.049281314168377825,0.19218996459686233,0.7701583873290136,0.19889502762430938,0.11464968152866242,0.75,0.25,0.7472310066223145,0.5,75.0,0,finetune,0,0,8
-10d,-10.0,487,24,0.049281314168377825,0.24123073606673656,0.8034557235421166,0.18404907975460122,0.1079136690647482,0.625,0.30303030303030304,0.7588289380073547,0.5,76.0,0,finetune,0,0,8
+0d,0.0,487,24,0.049281314168377825,0.2880721781261837,0.8152447804175667,0.17886178861788618,0.1111111111111111,0.4583333333333333,0.3125,0.7644917964935303,0.5,79.0,0,finetune,0,0,8
+20d,20.0,487,24,0.049281314168377825,0.35449769215718957,0.8883189344852411,0.32967032967032966,0.22388059701492538,0.625,0.38235294117647056,0.5834684371948242,0.5,81.0,0,finetune,0,0,8
+50d,50.0,487,24,0.049281314168377825,0.3667708589366495,0.9314254859611232,0.49382716049382713,0.3508771929824561,0.8333333333333334,0.5128205128205128,0.5528257489204407,0.5,85.0,0,finetune,0,0,8
+100d,100.0,487,24,0.049281314168377825,0.4541372931942581,0.9423146148308136,0.5121951219512195,0.3620689655172414,0.875,0.5538461538461539,0.6354724168777466,0.5,91.0,0,finetune,0,0,8
full,,487,24,0.049281314168377825,0.49960907459953197,0.9479841612670986,0.5194805194805194,0.37735849056603776,0.8333333333333334,0.6037735849056604,0.6978017091751099,0.5,152.0,0,finetune,0,0,8
-50d,-50.0,486,23,0.047325102880658436,0.3136935985072939,0.8466522678185745,0.22702702702702704,0.12962962962962962,0.9130434782608695,0.30303030303030304,0.7525753378868103,0.5,76.0,2,finetune,0,1,11
-20d,-20.0,486,23,0.047325102880658436,0.23839892085244602,0.8244905624941309,0.20238095238095238,0.11724137931034483,0.7391304347826086,0.24242424242424243,0.7713965177536011,0.5,80.0,1,finetune,0,1,11
