cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed
full,,2434,118,0.04847986852917009,0.4028804765707628,0.9135307807148503,0.40336134453781514,0.2681564245810056,0.8135593220338984,0.5171339563862928,0.78047114610672,0.5,149.0,0,finetune,0
-50d,-50.0,2434,118,0.04847986852917009,0.13279148690790357,0.775718289862709,0.17790811339198437,0.1005524861878453,0.7711864406779662,0.20606060606060606,0.6852192282676697,0.5,72.0,16,finetune,1
-20d,-20.0,2434,118,0.04847986852917009,0.1511377974202845,0.7822699862416206,0.1798201798201798,0.10192525481313704,0.7627118644067796,0.2145593869731801,0.7111849188804626,0.5,75.0,5,finetune,1
-10d,-10.0,2434,118,0.04847986852917009,0.15437928601707748,0.7827822663270982,0.18514750762970497,0.10520231213872833,0.7711864406779662,0.21673003802281368,0.7113842368125916,0.5,76.0,4,finetune,1
+0d,0.0,2434,118,0.04847986852917009,0.19100086004275216,0.8077010333421153,0.19692307692307692,0.11201866977829639,0.8135593220338984,0.2560706401766005,0.7355161309242249,0.5,79.0,0,finetune,1
+20d,20.0,2434,118,0.04847986852917009,0.26265069293770266,0.8443436960276338,0.2186421173762946,0.12649800266311584,0.8050847457627118,0.3553719008264463,0.7843633890151978,0.5,82.0,0,finetune,1
+50d,50.0,2434,118,0.04847986852917009,0.3348116332742906,0.8768002985861069,0.29767441860465116,0.18216318785578747,0.8135593220338984,0.45985401459854014,0.761889636516571,0.5,87.0,0,finetune,1
+100d,100.0,2434,118,0.04847986852917009,0.36131997503616725,0.8846052516027048,0.34191176470588236,0.21830985915492956,0.788135593220339,0.47249190938511326,0.7245583534240723,0.5,91.0,0,finetune,1
full,,2434,118,0.04847986852917009,0.48022849571017023,0.9170874681654518,0.39285714285714285,0.25647668393782386,0.8389830508474576,0.5447761194029851,0.7961990237236023,0.5,149.0,0,finetune,1
-50d,-50.0,2434,118,0.04847986852917009,0.12028990550911996,0.7623752232077515,0.17692307692307693,0.09978308026030369,0.7796610169491526,0.19601328903654486,0.6549620032310486,0.5,72.0,16,finetune,2
-20d,-20.0,2434,118,0.04847986852917009,0.12797470944650433,0.7674980240625275,0.17786561264822134,0.10067114093959731,0.7627118644067796,0.19501133786848074,0.7290551662445068,0.5,75.0,5,finetune,2
-10d,-10.0,2434,118,0.04847986852917009,0.14077340731086216,0.7737844325400312,0.178,0.10090702947845805,0.7542372881355932,0.20578778135048234,0.76751708984375,0.5,76.0,4,finetune,2
+0d,0.0,2434,118,0.04847986852917009,0.16502776663299448,0.7905103773308744,0.18329938900203666,0.10416666666666667,0.7627118644067796,0.22699386503067487,0.7575601935386658,0.5,79.0,0,finetune,2
+20d,20.0,2434,118,0.04847986852917009,0.21254396765106012,0.814324083018647,0.1913978494623656,0.10960591133004927,0.7542372881355932,0.2777777777777778,0.7078889608383179,0.5,82.0,0,finetune,2
+50d,50.0,2434,118,0.04847986852917009,0.2576601141474798,0.8471429407804223,0.22871664548919948,0.13452914798206278,0.7627118644067796,0.35654596100278546,0.6854526400566101,0.5,87.0,0,finetune,2
+100d,100.0,2434,118,0.04847986852917009,0.28556786557826963,0.85671160094845,0.2517482517482518,0.1507537688442211,0.7627118644067796,0.3834808259587021,0.660124659538269,0.5,91.0,0,finetune,2
full,,2434,118,0.04847986852917009,0.36865550206156206,0.8717726354614913,0.2794759825327511,0.1687170474516696,0.8135593220338984,0.4017094017094016,0.8521736264228821,0.5,149.0,0,finetune,2
