cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
+0d,0.0,486,23,0.047325102880658436,0.26711030178759265,0.8160390647009109,0.2122905027932961,0.12179487179487179,0.8260869565217391,0.2909090909090909,0.7799025177955627,0.5,80.5,0,frozen,2,4,19
+20d,20.0,486,23,0.047325102880658436,0.3148215440635067,0.8577331204807964,0.25157232704402516,0.14705882352941177,0.8695652173913043,0.35789473684210527,0.7214362025260925,0.5,83.0,0,frozen,2,4,19
+50d,50.0,486,23,0.047325102880658436,0.3609024758616646,0.8970795379847873,0.3252032520325203,0.2,0.8695652173913043,0.44705882352941173,0.7304128408432007,0.5,89.0,0,frozen,2,4,19
+100d,100.0,486,23,0.047325102880658436,0.39591918481292576,0.9095689736125459,0.34782608695652173,0.21739130434782608,0.8695652173913043,0.47058823529411764,0.8692424893379211,0.5,94.0,0,frozen,2,4,19
full,,486,23,0.047325102880658436,0.6170426648908292,0.9325758287163114,0.34545454545454546,0.21839080459770116,0.8260869565217391,0.5789473684210527,0.9109807014465332,0.5,147.0,0,frozen,2,4,19
-50d,-50.0,487,24,0.049281314168377825,0.12571138306462631,0.7126529877609791,0.1641025641025641,0.0935672514619883,0.6666666666666666,0.17679558011049726,0.5538027286529541,0.5,72.0,1,finetune,0,0,7
-20d,-20.0,487,24,0.049281314168377825,0.12766912875597394,0.7338012958963283,0.16243654822335024,0.09248554913294797,0.6666666666666666,0.1839080459770115,0.5538027286529541,0.5,75.0,0,finetune,0,0,7
-10d,-10.0,487,24,0.049281314168377825,0.14493321823308258,0.7526997840172786,0.16753926701570682,0.09580838323353294,0.6666666666666666,0.1893491124260355,0.5594338178634644,0.5,76.0,0,finetune,0,0,7
+0d,0.0,487,24,0.049281314168377825,0.18894793779727254,0.7598092152627789,0.1702127659574468,0.0975609756097561,0.6666666666666666,0.1951219512195122,0.7154906392097473,0.5,79.0,0,finetune,0,0,7
+20d,20.0,487,24,0.049281314168377825,0.20154692570902108,0.7840172786177105,0.19883040935672514,0.11564625850340136,0.7083333333333334,0.2727272727272727,0.7228474020957947,0.5,81.0,0,finetune,0,0,7
